actor,community,strength,eigen,betweenness
Militia (Qaysari),2,1,5.540340067115429e-6,0
Hisar-e-Shahi Communal Militia (Afghanistan),2,1,5.540340067115428e-6,0
The Afghanistan Liberation Movement,1,25,3.906690899065844e-6,0
Civilians (United States),1,8,3.5975534521094945e-6,0
Watandost Front,1,6,3.5688614649740636e-6,0
Military Forces of Turkmenistan (2006-),1,3,3.1388031804511984e-6,0
Military Forces of the United States (2021-2025),1,3,3.1388031804511844e-6,0
Military Forces of Uzbekistan (2016-),1,2,2.941643694764487e-6,0
Civilians (China),1,3,2.9340990309416695e-6,0
BLA: Baloch Liberation Army,1,2,2.8998557581262352e-6,0
Police Forces of Afghanistan (2014-2021) President Protective Service,1,2,2.8998557581262195e-6,0
High Council of Islamic Emirate (Afghanistan),1,3,2.8950135050674378e-06,0
Police Forces of Afghanistan (2021-) Prison Guards,1,2,2.7511810646444976e-6,0
Militia (Ahmad Shah Massoud),1,1,2.7444842090777686e-6,0
Nekhtai Communal Militia (Afghanistan),1,1,2.7444842090777686e-6,0
Militia (Mahdi),1,7,2.6328847931834496e-6,0
LJ: Lashkar-e-Jabbar,1,2,2.5740233323836904e-6,0
IMU: Islamic Movement of Uzbekistan,1,2,2.458061402322159e-6,0
TTP-Mehsud: Tehreek-i-Taliban Pakistan-Mehsud,1,2,2.1724706920652727e-6,0
Civilians (Iran),1,5,2.0771456492726767e-6,0
Civilians (Uzbekistan),1,2,1.6470873647498465e-6,0
Civilians (Russia),1,1,1.4499278790631204e-6,0
JeM: Jaish-e-Mohammad,1,1,1.4499278790631161e-6,0
Civilians (Iraq),1,1,1.4499278790631157e-6,0
Police Forces of Afghanistan (2021-) Special Forces,1,1,1.4499278790631119e-6,0
HIG: Hezb-e Islami-Gulbuddin,1,1,1.4499278790631119e-6,0
Sulaiman Khel Communal Militia (Afghanistan),1,1,1.287011666191848e-6,0
Anar Khel Communal Militia (Afghanistan),1,1,1.287011666191847e-6,0
Achin Communal Militia (Afghanistan),1,1,1.287011666191845e-6,0
Chambel Communal Militia (Afghanistan),1,1,1.2870116661918433e-6,0
Tangi Communal Militia (Afghanistan),1,1,1.2870116661918429e-6,0
Civilians (Spain),1,1,1.2870116661918395e-6,0
Unknown Soldiers of Afghanistan,1,5,9.857974284335573e-7,0
Civilians (Australia),1,3,4.3005828452285565e-7,0
National Mobilization Front,1,2,3.9431897137345225e-7,0
Military Forces of Pakistan (2022-) Border Action Team,1,2,3.9431897137344536e-7,0
Civilians (United Kingdom),1,2,3.9431897137344484e-7,0
Wolf Unit,1,2,3.94318971373443e-7,0
Hindu Kush Front,1,3,2.686381119855507e-7,0
Hazara Tribal Militia (Afghanistan),1,2,1.9817151377397523e-7,0
Guerrillas of the Freedom Fighters Front,1,1,1.9715948568673187e-7,0
Civilians (Canada),1,1,1.9715948568672356e-7,0
Militia (Zahir),1,1,1.9715948568672326e-7,0
Turkistan Freedom Tigers,1,1,1.9715948568672205e-7,0
Hizb ut-Tahrir,1,1,1.9715948568671808e-7,0
Police Forces of the United States (2021-2025) Central Intelligence Agency,1,1,1.672586544981391e-8,0
Jabhat al-Ribat,1,1,1.53046325670821e-8,0
JuA: Jamaat-ul-Ahrar,1,2,1.2190851635030739e-8,0
Government of Iran (1989-),1,1,1.2164980054096848e-8,0
Government of the United States (2025-),1,1,1.2164980054091116e-8,0
Samarkhel Communal Militia (Afghanistan),1,1,8.851709210295161e-9,0
Militia (Rabbani),8,1,2.7852126643638236e-9,0
Hizb-e Wahdat-e Islami,3,2,1.1123880741719814e-9,0.012199372603694667
Harakat-e Islami,3,1,3.389415020346112e-14,0
Haji Kali Communal Militia (Afghanistan),9,1,5.936472934280096e-21,0
Jangali Communal Militia (Afghanistan),4,1,0,0
Khair Mena Communal Militia (Afghanistan),5,1,0,0
Kharoti Tribal Militia (Afghanistan),6,2,0,0
Mama Khel Tribal Militia (Afghanistan),7,1,0,0
Mangal Tribal Militia (Afghanistan),6,3,0,8.71383757406762e-5
Obahkhil Communal Militia (Afghanistan),9,1,0,0
Rahmadabad Communal Militia (Afghanistan),4,1,0,0
Dang Dang Chapari Communal Militia (Afghanistan),5,1,0,0
Badin Khel Tribal Militia (Afghanistan),7,1,0,0
Moqbil Tribal Militia (Afghanistan),6,1,0,0
