node_id,dist_name,prov_name,events,fatalities,degree,betweenness,bridge_risk,bridge_flag
115,Chishti Sharif,Hirat,82,398,7,0.07492322158342714,0.013123879816510127,FALSE
322,Daychopan,Zabul,108,538,7,0.05578910760310195,0.01287078747371066,FALSE
91,Nawur,Ghazni,25,40,10,0.23583460960028846,0.012594458438287154,FALSE
144,Kabul City,Kabul,1985,3687,5,0.002950750117042043,0.012511946919255034,FALSE
198,Dashti Archi,Kunduz,253,1577,5,0.021565652364782445,0.011655074945000735,FALSE
273,Panjsher,Panjshir,323,457,8,0.015940860740629496,0.010998823661377973,FALSE
315,Jalrez,Wardak,186,602,6,0.02759240544361708,0.010963127282114338,FALSE
197,Char Dara,Kunduz,230,872,6,0.02100878222785309,0.010321924176086072,FALSE
95,Lal Wa Sarjangal,Ghor,70,321,5,0.06830490554494227,0.010213671468025227,FALSE
31,Puli Khumri,Baghlan,853,2515,5,0.005494456077818545,0.01001165063979396,FALSE
103,Garmser,Hilmand,267,1054,8,0.017506064335082686,0.009984624362977812,FALSE
265,Jani Khel,Paktya,108,426,11,0.04290054614638961,0.009897340819368054,FALSE
223,Khogyani,Nangarhar,646,2558,4,0.007070100898128028,0.009756410812681048,FALSE
263,Jadran,Paktya,95,69,10,0.04806625105467494,0.009754293182115832,FALSE
69,Bilchiragh,Faryab,277,1377,6,0.016203926590248014,0.009588087422740817,FALSE
209,Charkh,Logar,294,658,7,0.015121593283774354,0.009496789952255747,FALSE
184,Asad abad,Kunar,502,1135,7,0.008237638465955066,0.008833613509637786,FALSE
158,Khakrez,Kandahar,341,1184,6,0.012110430465508998,0.008821570485911357,FALSE
324,Qalat,Zabul,601,1650,6,0.006833275973268366,0.00877274249839947,FALSE
5,Jurm,Badakhshan,160,581,6,0.025590202350385713,0.008746325821487653,FALSE
83,Gelan,Ghazni,237,703,6,0.017117793160108318,0.008666187268359316,FALSE
114,Adraskan,Hirat,117,246,8,0.03404063354402532,0.008507764212869277,FALSE
