node_id,dist_name,prov_name,events,fatalities,degree,betweenness,bridge_risk,bridge_flag
106,Musa Qala,Hilmand,90,526,6,0.014533862444501045,0.002794187233735762,FALSE
89,Muqur,Ghazni,300,1089,5,0.0043544095194292705,0.0027905028770128476,FALSE
33,Balkh,Balkh,955,2541,5,0.001345393543034298,0.0027446353952156697,FALSE
299,Ishkamish,Takhar,141,412,6,0.008927329121957114,0.0026888873495297064,FALSE
127,Pashtun Zarghun,Hirat,183,671,5,0.0068049673662927655,0.002660168127646736,FALSE
272,Hisa-I-Duwum Panjsher,Panjshir,118,165,6,0.010480568624319198,0.002641793105487649,FALSE
180,Sabari,Khost,255,283,5,0.0048381363693646776,0.002635422412194902,FALSE
247,Gomal,Paktika,63,379,7,0.019447275102747352,0.0026171659200285376,FALSE
241,Nuristan,Nuristan,67,97,5,0.018037616102800285,0.0025815818043118475,FALSE
308,Khas Uruzgan,Uruzgan,282,1438,5,0.004066655105365579,0.002449731004276159,FALSE
298,Farkhar,Takhar,56,110,7,0.02008132035238643,0.0024022170248195977,FALSE
239,Kamdesh,Nuristan,116,303,5,0.009644602628427009,0.0023898699976146283,FALSE
259,Azro,Paktya,71,349,5,0.014978929407582749,0.0022718051091388455,FALSE
41,Kishindih,Balkh,128,526,6,0.00793231158478818,0.002168910763210836,FALSE
195,Sirkanay,Kunar,321,122,5,0.0031068590516667716,0.0021303871441829556,FALSE
243,Waygal,Nuristan,49,174,6,0.019059895890249624,0.001995025969207742,FALSE
323,Mizan,Zabul,237,501,5,0.0037475363083432998,0.001897256915030598,FALSE
187,Chawkay,Kunar,109,405,6,0.008130700771897795,0.001893156101220573,FALSE
104,Kajaki,Hilmand,97,329,6,0.008895787368921897,0.0018432662745999592,FALSE
49,Shibar,Bamyan,10,17,7,0.08575505304433687,0.001831857424608792,FALSE
302,Rustaq,Takhar,51,168,7,0.01672981574946519,0.001822608046239157,FALSE
194,Nurgal,Kunar,46,112,6,0.01690377696590135,0.0016610149245126836,FALSE
139,Bagrami,Kabul,186,243,6,0.0041242452982572335,0.0016386619948684145,FALSE
309,Nesh,Uruzgan,178,537,6,0.00428074761854461,0.0016276895497759668,FALSE
266,Lija Mangal,Paktya,166,161,4,0.004533493444865652,0.0016075816095273046,FALSE
54,Kijran,Daykundi,73,250,5,0.010281539071026767,0.0016032931589427752,FALSE
60,Gulistan,Farah,29,50,6,0.025185736914781945,0.001560215577027599,FALSE
